===== FindStandartObjects Started at 4/23/2021 9:09:24 PM
{ ObjectIndex = 1275, Radius = 2 }
{ ObjectIndex = 83, Radius = 4 }
{ ObjectIndex = 508, Radius = 8 }
{ ObjectIndex = 668, Radius = 9 }
{ ObjectIndex = 712, Radius = 12 }
{ ObjectIndex = 740, Radius = 12 }
{ ObjectIndex = 570, Radius = 13 }
{ ObjectIndex = 1098, Radius = 15 }
{ ObjectIndex = 607, Radius = 16 }
{ ObjectIndex = 947, Radius = 3 }
{ ObjectIndex = 519, Radius = 6 }
{ ObjectIndex = 911, Radius = 27 }
{ ObjectIndex = 1061, Radius = 34 }
{ ObjectIndex = 106, Radius = 7 }
{ ObjectIndex = 1097, Radius = 8 }
{ ObjectIndex = 662, Radius = 2 }
{ ObjectIndex = 1099, Radius = 4 }
{ ObjectIndex = 882, Radius = 1 }
{ ObjectIndex = 696, Radius = 1 }
{ ObjectIndex = 938, Radius = 8 }
{ ObjectIndex = 735, Radius = 4 }
{ ObjectIndex = 308, Radius = 14 }
{ ObjectIndex = 349, Radius = 1 }
{ ObjectIndex = 357, Radius = 1 }
{ ObjectIndex = 1238, Radius = 9 }
{ ObjectIndex = 406, Radius = 5 }
{ ObjectIndex = 414, Radius = 8 }
{ ObjectIndex = 1242, Radius = 9 }
{ ObjectIndex = 1296, Radius = 1 }
===== FindStandartObjects Ended at 4/23/2021 9:09:24 PM
