===== FindStandartObjects Started at 11/16/2021 12:29:00 PM
{ ObjectIndex = 13476, Radius = 0.0461102673448102 }
{ ObjectIndex = 13279, Radius = 0.0461907796293224 }
{ ObjectIndex = 13263, Radius = 0.0522421100883605 }
{ ObjectIndex = 13276, Radius = 0.0546376596937708 }
{ ObjectIndex = 13377, Radius = 0.055974276003866 }
{ ObjectIndex = 13287, Radius = 0.0594052738994253 }
{ ObjectIndex = 13560, Radius = 0.0595350336734352 }
{ ObjectIndex = 13341, Radius = 0.0630990673788173 }
{ ObjectIndex = 13393, Radius = 0.0640324903203328 }
{ ObjectIndex = 13293, Radius = 0.0641153940258786 }
{ ObjectIndex = 13157, Radius = 0.0657864954779897 }
{ ObjectIndex = 13270, Radius = 0.0668406925775631 }
{ ObjectIndex = 13209, Radius = 0.0694856379533738 }
{ ObjectIndex = 13412, Radius = 0.0702620232015174 }
{ ObjectIndex = 13267, Radius = 0.0772452287460928 }
{ ObjectIndex = 12967, Radius = 0.078724654070481 }
{ ObjectIndex = 13205, Radius = 0.0850164058579135 }
{ ObjectIndex = 13059, Radius = 0.0862546124936005 }
{ ObjectIndex = 12955, Radius = 0.0882289987746382 }
{ ObjectIndex = 12732, Radius = 0.0893667094312076 }
{ ObjectIndex = 12769, Radius = 0.0942342891074111 }
{ ObjectIndex = 13185, Radius = 0.0960296464276254 }
{ ObjectIndex = 13055, Radius = 0.0973950631948202 }
{ ObjectIndex = 13192, Radius = 0.0984286200421296 }
{ ObjectIndex = 12926, Radius = 0.100202811460744 }
{ ObjectIndex = 12992, Radius = 0.102808565454819 }
{ ObjectIndex = 12527, Radius = 0.109572317901829 }
{ ObjectIndex = 13085, Radius = 0.110909670379441 }
{ ObjectIndex = 12839, Radius = 0.113022177684316 }
{ ObjectIndex = 12631, Radius = 0.118411369619796 }
{ ObjectIndex = 13199, Radius = 0.12144953176917 }
{ ObjectIndex = 12407, Radius = 0.122186762660792 }
{ ObjectIndex = 11971, Radius = 0.126985113354662 }
{ ObjectIndex = 12607, Radius = 0.130719457817172 }
{ ObjectIndex = 12417, Radius = 0.133763364706238 }
{ ObjectIndex = 12217, Radius = 0.134164177152629 }
{ ObjectIndex = 12535, Radius = 0.135799200461738 }
{ ObjectIndex = 12005, Radius = 0.137808954181453 }
{ ObjectIndex = 12107, Radius = 0.167762273405612 }
{ ObjectIndex = 11801, Radius = 0.169072790796675 }
{ ObjectIndex = 11891, Radius = 0.191530589447603 }
{ ObjectIndex = 11162, Radius = 0.1955375055524 }
{ ObjectIndex = 11181, Radius = 0.195840881308368 }
{ ObjectIndex = 11348, Radius = 0.196834749683044 }
{ ObjectIndex = 11114, Radius = 0.203180576546666 }
{ ObjectIndex = 10769, Radius = 0.233014104561589 }
{ ObjectIndex = 11088, Radius = 0.234725046727402 }
{ ObjectIndex = 11154, Radius = 0.238895280972434 }
{ ObjectIndex = 10913, Radius = 0.268486021609322 }
{ ObjectIndex = 10730, Radius = 0.271548298567066 }
{ ObjectIndex = 10412, Radius = 0.294036019301293 }
{ ObjectIndex = 11198, Radius = 0.309279751922422 }
{ ObjectIndex = 10233, Radius = 0.342672642040916 }
{ ObjectIndex = 10213, Radius = 0.356760758270009 }
{ ObjectIndex = 10068, Radius = 0.357576112418754 }
{ ObjectIndex = 10238, Radius = 0.378683351491064 }
{ ObjectIndex = 10122, Radius = 0.384039473106887 }
{ ObjectIndex = 10182, Radius = 0.389880355639433 }
{ ObjectIndex = 10111, Radius = 0.390392539591794 }
{ ObjectIndex = 10090, Radius = 0.414625786754586 }
{ ObjectIndex = 10079, Radius = 0.417065037650652 }
{ ObjectIndex = 12121, Radius = 0.450598016723059 }
{ ObjectIndex = 10211, Radius = 0.615177020931658 }
{ ObjectIndex = 7823, Radius = 0.0463618001049324 }
{ ObjectIndex = 7716, Radius = 0.048344943795306 }
{ ObjectIndex = 8071, Radius = 0.0489198846083706 }
{ ObjectIndex = 7566, Radius = 0.0542490634316558 }
{ ObjectIndex = 8142, Radius = 0.0701499951083528 }
{ ObjectIndex = 7969, Radius = 0.0714653663243902 }
{ ObjectIndex = 7809, Radius = 0.072817683875454 }
{ ObjectIndex = 7913, Radius = 0.0748660854723855 }
{ ObjectIndex = 7810, Radius = 0.0786177670468898 }
{ ObjectIndex = 8881, Radius = 0.0840004733004089 }
{ ObjectIndex = 8664, Radius = 0.0875405582588149 }
{ ObjectIndex = 8291, Radius = 0.0880680863076139 }
{ ObjectIndex = 7553, Radius = 0.0889843063506381 }
{ ObjectIndex = 8386, Radius = 0.0980232182840385 }
{ ObjectIndex = 8616, Radius = 0.105170016977215 }
{ ObjectIndex = 8084, Radius = 0.105913357840963 }
{ ObjectIndex = 8816, Radius = 0.109763141426416 }
{ ObjectIndex = 7992, Radius = 0.110167683331551 }
{ ObjectIndex = 7844, Radius = 0.112097336667538 }
{ ObjectIndex = 8992, Radius = 0.114671753066996 }
{ ObjectIndex = 9345, Radius = 0.124104651430838 }
{ ObjectIndex = 8853, Radius = 0.125695533988574 }
{ ObjectIndex = 9272, Radius = 0.126625389293776 }
{ ObjectIndex = 8085, Radius = 0.135542520323356 }
{ ObjectIndex = 8047, Radius = 0.137900954119276 }
{ ObjectIndex = 8508, Radius = 0.140241116688412 }
{ ObjectIndex = 8017, Radius = 0.141410858573145 }
{ ObjectIndex = 9263, Radius = 0.142173452529484 }
{ ObjectIndex = 8063, Radius = 0.14817714404139 }
{ ObjectIndex = 8465, Radius = 0.151290189853295 }
{ ObjectIndex = 7833, Radius = 0.152292307305113 }
{ ObjectIndex = 8464, Radius = 0.154990286030615 }
{ ObjectIndex = 9458, Radius = 0.15686399879391 }
{ ObjectIndex = 9268, Radius = 0.159896646298591 }
{ ObjectIndex = 9755, Radius = 0.160233992704852 }
{ ObjectIndex = 9657, Radius = 0.160898763981512 }
{ ObjectIndex = 8758, Radius = 0.17120404485628 }
{ ObjectIndex = 9207, Radius = 0.171913714701626 }
{ ObjectIndex = 8872, Radius = 0.17615684556716 }
{ ObjectIndex = 8315, Radius = 0.179092804667268 }
{ ObjectIndex = 9932, Radius = 0.181079898497374 }
{ ObjectIndex = 8519, Radius = 0.182636872761228 }
{ ObjectIndex = 8962, Radius = 0.183592666708007 }
{ ObjectIndex = 9651, Radius = 0.183766476118548 }
{ ObjectIndex = 9556, Radius = 0.185759957053674 }
{ ObjectIndex = 9226, Radius = 0.186846415826829 }
{ ObjectIndex = 8905, Radius = 0.189189036431947 }
{ ObjectIndex = 9738, Radius = 0.192492796119279 }
{ ObjectIndex = 9417, Radius = 0.19413952181952 }
{ ObjectIndex = 7792, Radius = 0.196184926348989 }
{ ObjectIndex = 9397, Radius = 0.199291440327569 }
{ ObjectIndex = 9672, Radius = 0.202468613504648 }
{ ObjectIndex = 8701, Radius = 0.202922840480958 }
{ ObjectIndex = 9156, Radius = 0.212538778558655 }
{ ObjectIndex = 9037, Radius = 0.24043336159203 }
{ ObjectIndex = 8651, Radius = 0.274895987205208 }
{ ObjectIndex = 1527, Radius = 0.0603903243719996 }
{ ObjectIndex = 1385, Radius = 0.0720790547402294 }
{ ObjectIndex = 1975, Radius = 0.0949771025221432 }
{ ObjectIndex = 1528, Radius = 0.104197922634299 }
{ ObjectIndex = 650, Radius = 0.136975482674651 }
{ ObjectIndex = 1863, Radius = 0.151264916895661 }
{ ObjectIndex = 2022, Radius = 0.168554777685197 }
{ ObjectIndex = 1218, Radius = 0.194692682791646 }
{ ObjectIndex = 1341, Radius = 0.19675115738641 }
{ ObjectIndex = 1160, Radius = 0.224292194306476 }
{ ObjectIndex = 1887, Radius = 0.245369674758523 }
{ ObjectIndex = 1352, Radius = 0.34281722823149 }
{ ObjectIndex = 788, Radius = 0.474524784642776 }
{ ObjectIndex = 521, Radius = 0.684053112177184 }
{ ObjectIndex = 6699, Radius = 0.208317489878718 }
{ ObjectIndex = 6445, Radius = 0.238660662977641 }
{ ObjectIndex = 5713, Radius = 0.327676367157757 }
{ ObjectIndex = 6061, Radius = 0.376762161614887 }
{ ObjectIndex = 6951, Radius = 0.420948870908065 }
{ ObjectIndex = 5870, Radius = 0.46387776436197 }
{ ObjectIndex = 5996, Radius = 0.467909563344914 }
{ ObjectIndex = 5719, Radius = 0.492323501479892 }
{ ObjectIndex = 5571, Radius = 0.502668019783827 }
{ ObjectIndex = 5964, Radius = 0.535850005437896 }
{ ObjectIndex = 5672, Radius = 0.574784883293207 }
{ ObjectIndex = 6077, Radius = 0.604853935699693 }
{ ObjectIndex = 5757, Radius = 0.638679168535657 }
{ ObjectIndex = 5726, Radius = 0.686983183856078 }
{ ObjectIndex = 3938, Radius = 0.114378850745356 }
{ ObjectIndex = 3967, Radius = 0.122209448901077 }
{ ObjectIndex = 4063, Radius = 0.123384875246511 }
{ ObjectIndex = 4002, Radius = 0.124969765274927 }
{ ObjectIndex = 4058, Radius = 0.126580285187457 }
{ ObjectIndex = 4286, Radius = 0.141760893696324 }
{ ObjectIndex = 4149, Radius = 0.144674339295493 }
{ ObjectIndex = 4297, Radius = 0.146379136119277 }
{ ObjectIndex = 4864, Radius = 0.148831113135504 }
{ ObjectIndex = 4323, Radius = 0.159744449926115 }
{ ObjectIndex = 4103, Radius = 0.166465549649734 }
{ ObjectIndex = 4123, Radius = 0.169149430299318 }
{ ObjectIndex = 4952, Radius = 0.170141694305988 }
{ ObjectIndex = 4631, Radius = 0.182819496225901 }
{ ObjectIndex = 4314, Radius = 0.193791843202587 }
{ ObjectIndex = 4094, Radius = 0.198045356718604 }
{ ObjectIndex = 4329, Radius = 0.210868013279783 }
{ ObjectIndex = 4955, Radius = 0.211199193125012 }
{ ObjectIndex = 4389, Radius = 0.215334597663837 }
{ ObjectIndex = 5372, Radius = 0.21986166861764 }
{ ObjectIndex = 5266, Radius = 0.251332423877758 }
{ ObjectIndex = 4898, Radius = 0.255199402222961 }
{ ObjectIndex = 5461, Radius = 0.256652128664514 }
{ ObjectIndex = 5362, Radius = 0.264035006921805 }
{ ObjectIndex = 5081, Radius = 0.264226335994756 }
{ ObjectIndex = 5282, Radius = 0.268495485178054 }
{ ObjectIndex = 5343, Radius = 0.271563177794474 }
{ ObjectIndex = 4956, Radius = 0.305529116152367 }
{ ObjectIndex = 5457, Radius = 0.306572738770704 }
{ ObjectIndex = 5403, Radius = 0.306704301194338 }
{ ObjectIndex = 5103, Radius = 0.336149623121422 }
{ ObjectIndex = 5472, Radius = 0.364643704418828 }
{ ObjectIndex = 5500, Radius = 0.370983265177792 }
{ ObjectIndex = 5484, Radius = 0.453567710134673 }
{ ObjectIndex = 2410, Radius = 0.095434668786147 }
{ ObjectIndex = 2302, Radius = 0.195489446284067 }
{ ObjectIndex = 2509, Radius = 0.214853757787133 }
{ ObjectIndex = 2626, Radius = 0.222030333627917 }
{ ObjectIndex = 2260, Radius = 0.255478872101366 }
{ ObjectIndex = 2428, Radius = 0.270864821023624 }
{ ObjectIndex = 2359, Radius = 0.282250131816479 }
{ ObjectIndex = 2317, Radius = 0.291709017150468 }
{ ObjectIndex = 2443, Radius = 0.338108001196845 }
{ ObjectIndex = 3051, Radius = 0.35303887197237 }
{ ObjectIndex = 2256, Radius = 0.369330044364048 }
{ ObjectIndex = 3231, Radius = 0.382505917074455 }
{ ObjectIndex = 2806, Radius = 0.397923733893521 }
{ ObjectIndex = 3207, Radius = 0.404161656363962 }
{ ObjectIndex = 2216, Radius = 0.444128890887006 }
{ ObjectIndex = 3088, Radius = 0.487426383770299 }
{ ObjectIndex = 3327, Radius = 0.608483079300658 }
{ ObjectIndex = 3863, Radius = 1.22507884945806 }
{ ObjectIndex = 1598, Radius = 0.0698913055347624 }
{ ObjectIndex = 1597, Radius = 0.066820535384053 }
{ ObjectIndex = 5509, Radius = 0.0951393057804249 }
{ ObjectIndex = 7612, Radius = 0.0401514682763265 }
{ ObjectIndex = 7497, Radius = 0.0728328141207685 }
{ ObjectIndex = 7505, Radius = 0.0492658641136574 }
{ ObjectIndex = 13438, Radius = 0.0568969538397996 }
{ ObjectIndex = 271, Radius = 0.665433998384472 }
{ ObjectIndex = 430, Radius = 0.0617850697625388 }
{ ObjectIndex = 797, Radius = 0.0445868131526459 }
{ ObjectIndex = 1325, Radius = 0.0463618001049324 }
{ ObjectIndex = 1762, Radius = 0.0704123224264664 }
{ ObjectIndex = 1507, Radius = 0.106955176667654 }
{ ObjectIndex = 1910, Radius = 0.0530949762529276 }
{ ObjectIndex = 2001, Radius = 0.080878239142189 }
{ ObjectIndex = 2017, Radius = 0.0672067914574542 }
{ ObjectIndex = 2045, Radius = 0.145980967201976 }
