Object[11454], Relative count = 1, Enemy count = 342
Object[13584], Relative count = 2, Enemy count = 14

Object[13601], Relative count = 1, Enemy count = 25
Object[7490], Relative count = 1, Enemy count = 33
Object[13578], Relative count = 1, Enemy count = 8
Object[13570], Relative count = 1, Enemy count = 165
Object[8230], Relative count = 1, Enemy count = 234
Object[3122], Relative count = 2, Enemy count = 37
Object[13160], Relative count = 1, Enemy count = 4
Object[4078], Relative count = 1, Enemy count = 228
Object[13582], Relative count = 1, Enemy count = 28
Object[13265], Relative count = 1, Enemy count = 5

Object[13608], Relative count = 1, Enemy count = 9
Object[7432], Relative count = 1, Enemy count = 62
Object[2077], Relative count = 1, Enemy count = 10
Object[7407], Relative count = 1, Enemy count = 146
Object[9795], Relative count = 1, Enemy count = 204
Object[13523], Relative count = 1, Enemy count = 19
Object[23], Relative count = 1, Enemy count = 49
Object[7429], Relative count = 1, Enemy count = 89
Object[3348], Relative count = 1, Enemy count = 103
Object[13533], Relative count = 2, Enemy count = 6
Object[7447], Relative count = 1, Enemy count = 8
Object[3921], Relative count = 1, Enemy count = 58
Object[3976], Relative count = 1, Enemy count = 15
Object[13445], Relative count = 1, Enemy count = 7
Object[2893], Relative count = 2, Enemy count = 4
Object[7442], Relative count = 3, Enemy count = 135
Object[13579], Relative count = 2, Enemy count = 30
Object[7386], Relative count = 2, Enemy count = 15
Object[13464], Relative count = 1, Enemy count = 4
Object[7448], Relative count = 1, Enemy count = 140
Object[7473], Relative count = 1, Enemy count = 22
Object[13520], Relative count = 1, Enemy count = 14
Object[13589], Relative count = 1, Enemy count = 16
Object[7441], Relative count = 1, Enemy count = 148
Object[3947], Relative count = 1, Enemy count = 38
Object[7449], Relative count = 1, Enemy count = 114
Object[7433], Relative count = 1, Enemy count = 72
Object[5515], Relative count = 2, Enemy count = 4

Object[3093], Relative count = 1, Enemy count = 19
Object[13571], Relative count = 1, Enemy count = 25
Object[3872], Relative count = 1, Enemy count = 46
Object[11564], Relative count = 1, Enemy count = 8
Object[7454], Relative count = 1, Enemy count = 93
Object[13575], Relative count = 1, Enemy count = 25
Object[3943], Relative count = 1, Enemy count = 3
Object[3904], Relative count = 1, Enemy count = 13

Object[2295], Relative count = 1, Enemy count = 28
Object[2044], Relative count = 1, Enemy count = 5
Object[13568], Relative count = 1, Enemy count = 21
Object[2089], Relative count = 1, Enemy count = 5

Object[8810], Relative count = 1, Enemy count = 7
Object[3261], Relative count = 1, Enemy count = 14
Object[2857], Relative count = 1, Enemy count = 27
Object[13544], Relative count = 1, Enemy count = 16
Object[13481], Relative count = 1, Enemy count = 12
Object[7480], Relative count = 1, Enemy count = 17
Object[3158], Relative count = 2, Enemy count = 5
Object[13566], Relative count = 2, Enemy count = 3
Object[13346], Relative count = 1, Enemy count = 8
Object[10049], Relative count = 1, Enemy count = 16
Object[13603], Relative count = 1, Enemy count = 24
Object[1780], Relative count = 1, Enemy count = 8
Object[13590], Relative count = 1, Enemy count = 2
Object[7453], Relative count = 2, Enemy count = 7
Object[2885], Relative count = 1, Enemy count = 22
Object[7917], Relative count = 1, Enemy count = 5
Object[7443], Relative count = 1, Enemy count = 48
Object[13588], Relative count = 1, Enemy count = 9
Object[5650], Relative count = 1, Enemy count = 46
Object[7435], Relative count = 1, Enemy count = 24
Object[7430], Relative count = 1, Enemy count = 10
Object[3106], Relative count = 2, Enemy count = 28
Object[5505], Relative count = 4, Enemy count = 6
Object[10064], Relative count = 1, Enemy count = 42
Object[3065], Relative count = 1, Enemy count = 21
Object[2179], Relative count = 1, Enemy count = 28
Object[10016], Relative count = 1, Enemy count = 2
Object[3246], Relative count = 1, Enemy count = 41
Object[7437], Relative count = 1, Enemy count = 20
Object[7458], Relative count = 1, Enemy count = 15
Object[7417], Relative count = 1, Enemy count = 14
Object[7734], Relative count = 1, Enemy count = 6
Object[10051], Relative count = 1, Enemy count = 11
Object[7438], Relative count = 1, Enemy count = 33
Object[4023], Relative count = 1, Enemy count = 19
Object[7459], Relative count = 1, Enemy count = 4
Object[13564], Relative count = 1, Enemy count = 22
Object[13596], Relative count = 1, Enemy count = 7
Object[5498], Relative count = 23, Enemy count = 24
Object[5504], Relative count = 4, Enemy count = 6
Object[1472], Relative count = 2, Enemy count = 4
Object[7400], Relative count = 1, Enemy count = 56
Object[7478], Relative count = 1, Enemy count = 6
Object[38], Relative count = 1, Enemy count = 30
Object[1693], Relative count = 1, Enemy count = 33
Object[3072], Relative count = 1, Enemy count = 4
Object[3910], Relative count = 1, Enemy count = 3
Object[3063], Relative count = 5, Enemy count = 9
Object[12665], Relative count = 1, Enemy count = 114
Object[13556], Relative count = 1, Enemy count = 7
Object[3172], Relative count = 1, Enemy count = 14
Object[3875], Relative count = 1, Enemy count = 69
Object[13529], Relative count = 1, Enemy count = 18
Object[4148], Relative count = 1, Enemy count = 11
Object[13503], Relative count = 1, Enemy count = 6
Object[13489], Relative count = 1, Enemy count = 5
Object[1555], Relative count = 1, Enemy count = 29
Object[9727], Relative count = 1, Enemy count = 11
Object[7440], Relative count = 1, Enemy count = 42
Object[1758], Relative count = 1, Enemy count = 23
Object[13524], Relative count = 1, Enemy count = 22
Object[13558], Relative count = 1, Enemy count = 7
Object[3885], Relative count = 1, Enemy count = 6
Object[3104], Relative count = 3, Enemy count = 4
Object[1709], Relative count = 1, Enemy count = 21
Object[12415], Relative count = 2, Enemy count = 58
Object[13609], Relative count = 1, Enemy count = 14
Object[13594], Relative count = 1, Enemy count = 12
Object[13548], Relative count = 1, Enemy count = 3
Object[7452], Relative count = 2, Enemy count = 9
Object[7431], Relative count = 1, Enemy count = 3
1
Object[13573], Relative count = 1, Enemy count = 8
Object[7446], Relative count = 1, Enemy count = 24
Object[7470], Relative count = 2, Enemy count = 4

Object[13597], Relative count = 1, Enemy count = 12
Object[1935], Relative count = 1, Enemy count = 13
Object[9141], Relative count = 1, Enemy count = 3
Object[13450], Relative count = 1, Enemy count = 2
Object[5556], Relative count = 1, Enemy count = 4

Object[10045], Relative count = 1, Enemy count = 2
Object[5716], Relative count = 1, Enemy count = 30
Object[12655], Relative count = 1, Enemy count = 5
Object[13585], Relative count = 1, Enemy count = 13
Object[13610], Relative count = 2, Enemy count = 9
Object[12514], Relative count = 1, Enemy count = 6
Object[12873], Relative count = 1, Enemy count = 8
Object[13537], Relative count = 2, Enemy count = 3
Object[13422], Relative count = 1, Enemy count = 13
Object[5664], Relative count = 1, Enemy count = 4
Object[7445], Relative count = 1, Enemy count = 7
Object[7465], Relative count = 1, Enemy count = 15
Object[13549], Relative count = 1, Enemy count = 5
Object[3873], Relative count = 1, Enemy count = 58
Object[2813], Relative count = 1, Enemy count = 14
Object[5523], Relative count = 1, Enemy count = 38
Object[7450], Relative count = 2, Enemy count = 12
Object[7576], Relative count = 1, Enemy count = 45
Object[5516], Relative count = 1, Enemy count = 18
Object[13467], Relative count = 1, Enemy count = 3
Object[13604], Relative count = 1, Enemy count = 12
Object[13547], Relative count = 1, Enemy count = 7
Object[3307], Relative count = 1, Enemy count = 30
Object[7500], Relative count = 1, Enemy count = 21
Object[3299], Relative count = 1, Enemy count = 53
Object[5502], Relative count = 1, Enemy count = 4
Object[7462], Relative count = 1, Enemy count = 6
Object[7456], Relative count = 1, Enemy count = 8
Object[13595], Relative count = 1, Enemy count = 6
Object[1791], Relative count = 1, Enemy count = 15
Object[1798], Relative count = 1, Enemy count = 2
Object[13453], Relative count = 1, Enemy count = 11
Object[2035], Relative count = 1, Enemy count = 20
Object[12659], Relative count = 1, Enemy count = 2
Object[7426], Relative count = 2, Enemy count = 5
Object[2621], Relative count = 1, Enemy count = 4
Object[7463], Relative count = 1, Enemy count = 14
Object[2332], Relative count = 1, Enemy count = 8
Object[3035], Relative count = 1, Enemy count = 21
Object[5573], Relative count = 1, Enemy count = 2
Object[13502], Relative count = 2, Enemy count = 6
Object[3266], Relative count = 1, Enemy count = 9
Object[5646], Relative count = 2, Enemy count = 5
Object[13586], Relative count = 2, Enemy count = 9
Object[1844], Relative count = 1, Enemy count = 15
Object[7476], Relative count = 1, Enemy count = 8
Object[3891], Relative count = 1, Enemy count = 6
Object[3254], Relative count = 2, Enemy count = 6
Object[1601], Relative count = 1, Enemy count = 6
Object[3184], Relative count = 1, Enemy count = 4
Object[12933], Relative count = 1, Enemy count = 6
Object[13507], Relative count = 1, Enemy count = 4
Object[13593], Relative count = 1, Enemy count = 2
Object[13587], Relative count = 1, Enemy count = 9
Object[5641], Relative count = 1, Enemy count = 5
Object[12505], Relative count = 1, Enemy count = 3
Object[79], Relative count = 1, Enemy count = 9
8
Object[12925], Relative count = 1, Enemy count = 3
Object[5627], Relative count = 1, Enemy count = 13
Object[13598], Relative count = 1, Enemy count = 2
Object[5506], Relative count = 1, Enemy count = 43
Object[13390], Relative count = 1, Enemy count = 7
Object[13248], Relative count = 1, Enemy count = 26
bject[5510], Relative count = 1, Enemy count = 11
Object[1866], Relative count = 1, Enemy count = 7
Object[13525], Relative count = 2, Enemy count = 6
Object[12948], Relative count = 1, Enemy count = 20
Object[7428], Relative count = 2, Enemy count = 7
Object[9601], Relative count = 1, Enemy count = 5
Object[1630], Relative count = 1, Enemy count = 10
Object[213], Relative count = 1, Enemy count = 6
Object[4073], Relative count = 2, Enemy count = 4
Object[7512], Relative count = 1, Enemy count = 6
Object[3936], Relative count = 1, Enemy count = 10

Object[7496], Relative count = 1, Enemy count = 25
Object[3912], Relative count = 2, Enemy count = 16
Object[13519], Relative count = 2, Enemy count = 7
Object[7506], Relative count = 2, Enemy count = 17
Object[3900], Relative count = 1, Enemy count = 2
Object[2047], Relative count = 1, Enemy count = 2
Object[1861], Relative count = 1, Enemy count = 3
Object[1923], Relative count = 1, Enemy count = 36
Object[9433], Relative count = 1, Enemy count = 2
Object[0], Relative count = 2, Enemy count = 9
Object[2345], Relative count = 1, Enemy count = 7
Object[3992], Relative count = 1, Enemy count = 3
Object[3882], Relative count = 1, Enemy count = 7

Object[3971], Relative count = 2, Enemy count = 3
Object[5705], Relative count = 2, Enemy count = 3
Object[2040], Relative count = 1, Enemy count = 13
Object[2080], Relative count = 1, Enemy count = 4
Object[5946], Relative count = 1, Enemy count = 25
Object[13515], Relative count = 1, Enemy count = 10
Object[4132], Relative count = 2, Enemy count = 8
Object[13246], Relative count = 1, Enemy count = 41
Object[9695], Relative count = 1, Enemy count = 2
Object[7530], Relative count = 1, Enemy count = 3
Object[13552], Relative count = 1, Enemy count = 12
Object[7533], Relative count = 2, Enemy count = 3
Object[2969], Relative count = 1, Enemy count = 11
Object[6035], Relative count = 1, Enemy count = 6
Object[9976], Relative count = 2, Enemy count = 4
Object[13116], Relative count = 1, Enemy count = 2
Object[3874], Relative count = 1, Enemy count = 6
Object[12969], Relative count = 1, Enemy count = 6
Object[2027], Relative count = 1, Enemy count = 3
Object[7411], Relative count = 1, Enemy count = 2
Object[3927], Relative count = 1, Enemy count = 3

Object[12943], Relative count = 2, Enemy count = 4

Object[13158], Relative count = 1, Enemy count = 21
Object[10009], Relative count = 1, Enemy count = 3
Object[7493], Relative count = 1, Enemy count = 3
Object[13576], Relative count = 1, Enemy count = 5
Object[13072], Relative count = 1, Enemy count = 10
Object[7474], Relative count = 1, Enemy count = 2
Object[3338], Relative count = 2, Enemy count = 5
Object[13089], Relative count = 1, Enemy count = 3
Object[3314], Relative count = 1, Enemy count = 10
Object[13550], Relative count = 1, Enemy count = 2
Object[13559], Relative count = 1, Enemy count = 5
Object[7499], Relative count = 1, Enemy count = 3
Object[5810], Relative count = 1, Enemy count = 2
Object[1651], Relative count = 1, Enemy count = 4
Object[3330], Relative count = 1, Enemy count = 3

Object[5925], Relative count = 1, Enemy count = 4
Object[4462], Relative count = 1, Enemy count = 4
Object[13281], Relative count = 1, Enemy count = 6
Object[2029], Relative count = 1, Enemy count = 2
Object[3331], Relative count = 1, Enemy count = 3
Object[7660], Relative count = 1, Enemy count = 6
Object[10037], Relative count = 1, Enemy count = 2
Object[9569], Relative count = 1, Enemy count = 3
Object[13321], Relative count = 1, Enemy count = 2
Object[7483], Relative count = 1, Enemy count = 13
Object[9254], Relative count = 1, Enemy count = 5
Object[13187], Relative count = 1, Enemy count = 7Object[3982], Relative count = 1, Enemy count = 13
Object[9907], Relative count = 1, Enemy count = 9
Object[7609], Relative count = 1, Enemy count = 2
Object[13528], Relative count = 1, Enemy count = 5
Object[1782], Relative count = 1, Enemy count = 4
Object[3871], Relative count = 1, Enemy count = 9
Object[9242], Relative count = 1, Enemy count = 2
Object[4275], Relative count = 1, Enemy count = 5
Object[7882], Relative count = 1, Enemy count = 15
Object[7531], Relative count = 2, Enemy count = 14
Object[5929], Relative count = 1, Enemy count = 4
Object[13415], Relative count = 1, Enemy count = 10
Object[7517], Relative count = 1, Enemy count = 7
Object[8886], Relative count = 1, Enemy count = 23
Object[13472], Relative count = 1, Enemy count = 4
Object[8699], Relative count = 1, Enemy count = 2
Object[7643], Relative count = 1, Enemy count = 5
Object[7451], Relative count = 1, Enemy count = 9
Object[2021], Relative count = 1, Enemy count = 49
Object[13179], Relative count = 1, Enemy count = 3
Object[666], Relative count = 1, Enemy count = 13
Object[9831], Relative count = 1, Enemy count = 13
Object[7520], Relative count = 1, Enemy count = 4
Object[1694], Relative count = 1, Enemy count = 2
Object[7789], Relative count = 1, Enemy count = 7
Object[13075], Relative count = 2, Enemy count = 4
Object[13386], Relative count = 1, Enemy count = 2
Object[3889], Relative count = 1, Enemy count = 7
Object[8604], Relative count = 1, Enemy count = 4
Object[1972], Relative count = 1, Enemy count = 32
Object[9045], Relative count = 1, Enemy count = 11
Object[373], Relative count = 1, Enemy count = 2
Object[8177], Relative count = 1, Enemy count = 3
Object[1625], Relative count = 3, Enemy count = 4
Object[12570], Relative count = 1, Enemy count = 2
Object[3926], Relative count = 1, Enemy count = 22
Object[12771], Relative count = 1, Enemy count = 25
