===== FindStandartObjects Started at 10/27/2021 23:53:58
{ ObjectIndex = 13478, Radius = 0.0320918908819543 }
{ ObjectIndex = 13146, Radius = 0.0340623740701038 }
{ ObjectIndex = 13316, Radius = 0.0341842637977313 }
{ ObjectIndex = 13366, Radius = 0.0360082504378376 }
{ ObjectIndex = 13154, Radius = 0.0364616330976658 }
{ ObjectIndex = 13459, Radius = 0.0368060980582996 }
{ ObjectIndex = 13475, Radius = 0.0396740714977701 }
{ ObjectIndex = 13438, Radius = 0.0400470030716471 }
{ ObjectIndex = 13118, Radius = 0.0402057529972629 }
{ ObjectIndex = 13433, Radius = 0.0409755161973608 }
{ ObjectIndex = 13096, Radius = 0.0413483905903884 }
{ ObjectIndex = 13144, Radius = 0.0452615616471235 }
{ ObjectIndex = 13247, Radius = 0.0455034904717811 }
{ ObjectIndex = 13313, Radius = 0.0458215129865908 }
{ ObjectIndex = 13184, Radius = 0.0460600535632666 }
{ ObjectIndex = 13263, Radius = 0.0468055681216324 }
{ ObjectIndex = 13153, Radius = 0.0470416391427479 }
{ ObjectIndex = 13350, Radius = 0.0473335903669625 }
{ ObjectIndex = 13268, Radius = 0.0477399968373934 }
{ ObjectIndex = 13276, Radius = 0.047925222355598 }
{ ObjectIndex = 13052, Radius = 0.050046201514489 }
{ ObjectIndex = 13345, Radius = 0.050561191761569 }
{ ObjectIndex = 12932, Radius = 0.0508403577475545 }
{ ObjectIndex = 13090, Radius = 0.0513533623434954 }
{ ObjectIndex = 13385, Radius = 0.0520508718161646 }
{ ObjectIndex = 12994, Radius = 0.0521602204874217 }
{ ObjectIndex = 13287, Radius = 0.0525904654251708 }
{ ObjectIndex = 13496, Radius = 0.052907892521469 }
{ ObjectIndex = 13554, Radius = 0.0543770740255435 }
{ ObjectIndex = 13348, Radius = 0.0550509080129783 }
{ ObjectIndex = 13310, Radius = 0.0552715454700228 }
{ ObjectIndex = 12701, Radius = 0.0555731856198826 }
{ ObjectIndex = 12793, Radius = 0.0556283422843793 }
{ ObjectIndex = 12856, Radius = 0.056287318490322 }
{ ObjectIndex = 13341, Radius = 0.0565114245809831 }
{ ObjectIndex = 12825, Radius = 0.0566085103092091 }
